ID,walk,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
454,1,4,4,4,4,5,5,5,5,5,5,5,2,4,4,4,2,4,2,2
730,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
650,1,4,4,4,4,5,5,5,5,5,5,5,4,5,4,4,5,2,2,2
705,1,2,2,2,2,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2
736,1,4,4,4,4,5,5,5,5,5,5,5,4,4,2,2,2,4,4,4
668,1,2,3,3,3,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4
753,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4
648,1,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
429,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
712,1,4,4,4,4,5,5,5,4,4,4,4,4,2,2,2,4,2,2,2
741,1,4,4,4,4,5,5,5,5,5,5,5,4,4,2,2,2,4,4,4
719,1,4,4,4,4,5,5,5,4,4,4,4,4,2,2,2,4,2,2,2
731,1,2,2,4,4,5,5,5,5,5,5,5,4,4,4,4,4,2,2,2
711,1,4,4,4,4,5,5,5,4,4,4,4,4,3,3,3,4,2,2,2
205,1,5,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5
211,1,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,1,5,1,1
716,1.2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
167,1.3,1,1,1,1,5,5,5,5,5,5,5,4,1,3,3,3,5,1,1
218,1.4,5,5,5,5,5,4,4,4,5,5,4,5,4,5,5,3,3,3,3
557,1.5,4,5,5,5,4,4,5,5,5,5,5,5,5,4,5,4,5,3,3
126,1.5,3,3,4,4,4,4,4,5,5,5,5,4,4,4,4,3,4,4,4
131,1.5,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3
73,1.5,3,4,3,3,4,4,4,5,5,5,5,5,2,5,5,4,5,3,3
703,1.5,2,2,2,2,4,4,4,5,5,5,5,4,4,2,2,2,4,4,4
722,1.5,2,2,2,2,4,4,4,5,5,5,5,4,4,2,2,2,4,4,4
700,1.5,2,2,2,2,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3
707,1.5,2,2,2,2,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2
714,1.5,2,2,2,2,4,4,4,5,5,5,5,4,4,2,2,2,4,4,4
659,1.5,2,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,2,2,2
721,1.5,2,2,2,2,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2
720,1.5,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1
734,1.5,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
168,1.5,2,2,2,2,4,4,4,4,4,4,4,5,4,5,4,4,5,5,5
671,1.5,2,2,2,2,4,4,4,5,5,5,5,4,4,2,4,2,2,2,2
274,1.5,2,4,4,4,4,4,4,5,5,5,5,5,4,5,5,4,5,5,5
635,1.5,2,3,3,4,4,4,4,4,4,5,4,4,4,4,2,4,4,4,4
280,1.5,4,4,4,4,4,4,4,4,4,4,4,3,5,3,5,1,5,4,4
381,1.6,2,4,4,4,5,5,5,5,5,5,5,4,4,5,4,5,4,4,4
624,2,4,2,5,4,5,5,5,5,4,4,5,5,4,4,5,5,5,3,3
185,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5
628,2,5,3,3,3,3,5,5,5,3,3,3,3,2,3,5,3,5,1,1
519,2,4,2,2,4,5,5,5,5,5,5,5,2,3,4,4,2,1,1,1
199,2,5,3,4,4,5,5,5,5,5,5,5,5,1,5,3,5,5,3,3
580,2,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3
556,2,3,2,5,5,3,3,3,5,5,5,5,5,4,5,5,4,5,5,5
8,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
321,2,4,4,4,4,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2
170,2,4,4,4,4,2,5,3,5,5,5,5,1,3,1,3,3,5,3,3
122,2,3,2,2,2,5,5,5,5,5,4,5,5,2,5,2,4,5,2,1
337,2,4,4,2,4,5,5,5,5,5,5,5,4,2,2,4,2,4,2,2
470,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3
153,2,4,4,4,4,5,5,5,5,5,5,5,4,4,3,4,2,4,4,4
453,2,4,4,4,4,4,4,4,5,5,5,5,2,4,4,5,2,2,2,2
327,2,4,4,4,4,5,5,5,5,5,5,5,2,2,2,2,2,4,4,4
708,2,2,2,2,2,4,4,4,5,5,5,5,4,4,2,2,2,4,4,4
728,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
742,2,2,2,4,4,5,5,5,5,5,5,5,4,4,4,4,4,2,2,2
710,2,2,2,2,2,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2
661,2,4,4,4,4,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2
729,2,4,4,4,4,5,5,5,5,5,5,5,4,4,2,2,2,4,4,4
666,2,2,2,4,4,5,5,5,4,4,4,4,4,4,4,4,3,3,2,2
732,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
649,2,4,4,4,4,5,5,5,4,4,4,4,2,2,2,2,2,4,4,4
733,2,2,2,4,4,5,5,5,5,5,5,5,4,4,4,4,4,2,2,2
667,2,4,4,4,4,5,5,5,4,4,4,4,4,4,4,5,1,2,2,2
655,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,4,4,2,2,2
140,2,5,1,5,5,5,5,5,5,5,4,5,5,4,5,5,1,5,1,1
611,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2
617,2,4,2,5,5,5,5,5,5,5,4,3,3,4,5,5,5,5,5,5
445,2,3,4,4,4,4,3,3,4,5,4,4,5,5,5,4,4,5,5,5
636,2,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4
440,2,4,4,4,4,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2
113,2,3,3,3,3,4,4,5,5,5,2,5,4,5,4,5,4,4,3,3
226,2.1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5
133,2.5,5,2,1,5,4,5,4,5,5,1,5,1,5,5,5,1,2,1,1
319,2.5,4,4,4,4,5,5,5,5,5,5,5,4,2,2,2,1,2,2,2
54,2.5,3,3,3,3,5,5,5,5,5,5,5,5,2,5,4,5,5,5,3
405,2.5,5,5,5,5,5,3,3,5,4,4,4,3,3,3,3,3,4,4,4
125,2.5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5
725,2.5,4,4,4,4,5,5,5,5,5,5,5,5,4,2,2,2,1,1,1
652,2.5,4,4,4,4,5,5,5,5,5,5,5,4,2,2,4,2,2,2,2
658,2.5,2,2,2,2,5,5,5,4,4,4,4,4,4,2,2,2,2,2,2
727,2.5,4,4,4,4,5,5,5,5,5,5,5,5,4,2,2,2,1,1,1
702,2.5,4,4,4,4,5,5,5,5,5,5,5,5,4,2,2,2,1,1,1
724,2.5,4,4,4,4,5,5,5,5,5,5,5,5,4,2,2,2,1,1,1
674,2.5,4,4,4,4,5,5,5,5,5,5,5,4,2,2,4,2,2,2,2
669,2.5,2,2,2,2,5,5,5,4,4,4,4,4,4,4,4,2,4,4,4
210,2.5,3,3,5,3,4,5,5,5,5,5,5,3,5,5,3,3,5,1,4
638,2.5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3
3,3,4,4,4,4,5,5,5,5,5,5,5,5,4,2,2,2,4,2,2
362,3,2,2,2,2,4,4,4,5,5,5,5,4,4,4,4,2,2,2,2
573,3,4,4,5,4,5,5,5,5,5,4,5,4,4,3,3,3,5,4,4
598,3,3,3,2,2,4,4,4,4,4,4,5,3,4,4,3,4,3,3,3
322,3,2,2,2,2,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4
328,3,4,4,4,2,5,5,5,5,5,5,5,4,2,2,2,2,4,3,3
10,3,4,4,4,4,4,4,4,5,5,5,5,4,2,2,2,2,2,2,2
320,3,4,4,4,4,5,5,5,5,5,5,5,4,2,2,4,2,4,3,3
465,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
409,3,5,5,5,5,4,4,4,3,3,3,4,3,4,3,3,4,5,5,5
407,3,4,3,5,3,5,5,5,5,5,4,5,5,2,4,2,3,5,3,3
318,3,4,4,4,4,5,5,5,5,5,5,5,4,2,2,2,2,4,4,4
46,3,4,4,2,3,5,5,5,5,5,5,5,4,4,3,2,3,4,5,5
9,3,4,4,4,4,5,5,5,5,5,5,5,5,2,2,4,2,4,4,4
98,3,5,4,3,4,5,5,5,5,5,4,3,4,4,4,5,2,4,1,1
738,3,4,4,4,4,5,5,5,5,5,5,5,4,4,2,2,2,4,4,4
647,3,4,4,4,4,5,5,5,4,4,4,4,2,2,2,2,2,2,2,2
217,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,3,3
222,3,3,4,2,2,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5
448,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5
29,3,4,3,4,4,4,3,3,5,4,5,5,5,4,4,2,2,4,3,2
25,3,3,3,3,3,4,4,5,5,5,4,5,4,2,2,1,3,4,4,4
40,3,3,2,5,4,4,4,4,5,5,5,5,4,3,3,4,2,4,5,5
257,3.3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
137,3.5,4,4,1,1,2,3,2,5,5,5,5,5,1,3,3,3,4,4,4
380,3.5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4
368,3.5,2,4,3,4,5,5,5,5,5,5,5,5,5,2,4,2,4,2,2
302,3.5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4
386,3.5,4,3,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5
303,3.5,5,3,3,5,5,5,5,5,5,5,4,3,4,4,4,4,5,3,3
266,3.5,3,3,2,2,5,5,5,4,5,5,4,5,4,5,3,5,4,5,5
699,3.5,4,4,4,4,5,5,5,5,5,5,5,5,4,5,3,3,5,3,3
354,3.5,2,5,2,2,1,5,1,5,5,5,5,5,2,4,5,2,5,3,3
587,3.5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3
75,3.5,4,4,4,4,4,4,4,5,5,5,5,5,2,4,3,4,4,4,4
404,3.5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,3,3
57,3.5,3,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,2,2
464,3.5,4,5,3,4,5,5,5,5,4,3,3,5,3,3,4,2,5,4,4
169,3.5,5,3,3,4,5,5,4,5,5,5,5,4,4,5,4,4,5,5,5
70,3.5,4,2,3,3,5,5,5,5,5,5,5,4,2,4,5,5,4,1,1
394,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,3
398,3.5,4,3,4,3,3,4,5,5,4,4,4,4,4,4,4,4,4,3,3
399,3.5,5,5,3,5,5,5,5,5,5,5,5,4,4,3,5,5,5,3,3
662,3.5,4,4,4,3,5,5,5,5,5,5,5,4,4,2,4,2,2,2,2
285,3.5,3,2,4,4,4,4,4,5,5,5,5,4,4,3,3,3,4,4,3
608,3.5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,3,1,5,4,3
84,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
202,3.5,3,2,2,2,5,5,5,5,5,5,5,4,4,4,2,2,5,1,1
35,3.5,3,4,4,2,2,4,3,5,5,5,5,5,3,4,2,5,5,3,3
298,3.5,2,3,2,2,2,3,2,5,5,5,5,5,5,5,5,5,5,5,5
213,3.5,2,2,2,2,4,4,4,5,5,5,5,4,2,4,2,1,4,4,4
275,3.5,3,4,4,3,5,5,5,5,5,4,4,4,4,5,5,5,5,3,3
228,3.5,3,2,2,2,4,4,4,5,5,5,4,2,4,2,2,1,2,2,2
307,4,2,2,2,2,4,4,4,5,5,5,5,5,4,4,4,3,4,4,4
379,4,2,2,3,2,5,5,5,5,5,5,5,5,5,2,2,2,3,3,3
267,4,2,2,3,2,2,2,2,5,5,5,5,4,1,1,5,1,5,4,3
256,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5
265,4,2,4,3,4,5,5,5,5,5,4,4,1,1,3,4,1,4,3,3
686,4,4,4,4,4,5,5,5,5,5,5,5,4,3,4,5,2,4,4,4
51,4,5,5,4,4,5,5,5,5,5,5,5,4,4,4,3,3,4,3,3
488,4,1,3,3,2,2,4,2,5,4,3,3,1,4,3,5,1,2,1,1
335,4,4,4,4,4,5,5,5,5,5,5,4,3,2,2,5,2,4,3,3
458,4,4,4,3,4,5,5,5,5,5,5,5,4,4,4,4,4,4,2,2
645,4,2,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,2
397,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5
653,4,4,4,4,4,5,5,5,5,5,5,5,4,5,4,4,4,2,2,2
446,4,3,4,3,4,5,4,4,5,5,4,3,4,4,3,3,3,4,2,2
441,4,4,4,3,4,5,5,5,5,5,5,4,5,4,4,4,3,4,5,4
373,4.5,2,2,2,4,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4
680,4.5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5
124,4.5,3,5,4,4,4,4,4,5,5,5,5,5,3,5,3,3,5,3,3
332,4.5,4,4,3,4,5,5,5,5,5,5,5,4,4,2,4,3,4,4,4
660,4.5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,2,2,2
231,5,3,2,3,3,5,5,5,5,5,5,5,5,3,1,2,5,5,4,3
382,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5
310,5,5,4,3,4,5,5,5,5,5,4,5,5,5,5,5,1,5,1,1
515,5,2,2,1,2,4,5,4,5,5,5,5,5,4,5,5,4,5,5,5
693,5,3,3,4,4,3,4,4,4,4,4,4,4,2,4,4,2,3,2,2
343,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5
558,5,2,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,3,3,3
152,5,4,3,5,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4
472,5,4,3,3,3,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4
656,5,2,2,2,2,5,5,5,4,4,4,4,4,4,4,4,2,2,2,2
15,5,2,2,4,4,5,5,5,5,5,4,5,5,4,5,3,2,5,5,5
701,5,4,4,4,4,5,5,5,5,5,5,5,4,4,3,4,4,3,3,3
24,5,3,4,3,3,4,3,4,5,5,5,5,4,3,3,2,3,4,3,3
291,5,1,2,3,2,4,5,5,4,3,3,5,4,2,4,1,3,3,3,3
618,5,3,2,2,3,5,5,5,5,5,5,5,5,4,4,4,2,5,5,5
14,5,3,5,5,5,5,5,4,5,5,5,5,4,5,5,1,3,5,5,5
142,5,3,3,3,3,4,4,4,5,5,5,5,4,5,5,5,2,3,3,3
646,5.5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
279,5.5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,1,1
415,6,4,3,4,4,3,3,3,4,3,4,3,4,2,4,4,3,4,3,2
533,6,4,5,5,5,4,3,5,5,5,3,3,3,2,3,2,2,3,2,2
682,6,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,3,3
735,6,4,4,4,4,5,5,5,5,5,5,5,4,4,2,2,2,4,4,4
434,6,4,3,4,4,5,5,4,5,5,5,5,4,4,3,3,2,4,3,3
31,6,4,4,3,3,4,4,4,5,5,4,5,4,5,3,2,3,4,3,3
281,6.5,5,5,5,4,5,5,5,5,5,1,4,4,5,1,5,1,5,4,4
135,7,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
364,7,2,2,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,2,2
365,7,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
410,7,5,5,5,5,5,5,4,5,5,5,5,5,5,4,3,5,3,4,5
388,7,2,2,2,2,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3
679,7,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
240,7,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4
192,7,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,3,3
132,7,1,1,3,1,1,1,1,4,4,1,4,2,5,4,5,1,1,1,1
681,7,2,4,4,4,5,5,5,5,5,5,4,5,2,1,5,4,5,4,4
361,7,2,2,2,2,5,5,5,5,5,5,5,5,4,2,4,4,4,4,4
505,7,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,3,5,5,5
534,7,1,1,1,1,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
180,7,3,2,3,3,2,2,2,4,3,3,2,2,2,3,4,4,4,4,2
377,7,4,3,3,4,5,5,5,5,5,5,5,5,1,4,5,5,5,4,2
525,7,4,3,4,4,4,3,3,3,2,2,3,4,4,4,3,4,4,4,4
520,7,1,1,1,1,5,5,5,5,5,5,5,2,5,4,4,1,5,5,5
528,7,4,2,3,4,4,4,4,5,5,3,3,2,2,1,2,1,4,3,3
248,7,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3
244,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1
242,7,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,1,1
197,7,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,5,5,3,4
685,7,3,3,3,4,5,5,5,4,4,3,3,3,4,4,3,4,5,4,4
564,7,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
357,7,5,5,5,5,2,5,3,5,5,5,5,3,4,2,4,2,5,2,2
562,7,4,4,4,4,4,4,3,4,4,5,5,4,3,3,5,3,5,4,4
561,7,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5
489,7,2,4,4,5,4,5,5,4,4,2,3,4,1,5,2,4,4,1,1
154,7,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,2,2
462,7,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
47,7,1,4,4,5,4,4,4,5,5,5,5,5,4,4,3,2,5,4,4
467,7,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5
402,7,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
606,7,2,3,2,2,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5
469,7,2,2,2,2,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5
178,7,3,2,3,4,5,5,5,5,5,4,5,4,4,5,5,2,5,4,2
329,7,2,2,4,4,5,5,5,5,5,5,5,4,4,2,4,2,4,3,3
487,7,1,1,3,5,5,5,5,5,5,4,3,4,4,4,5,1,5,1,1
99,7,5,4,3,4,5,5,5,5,5,4,3,5,5,5,5,4,5,2,2
7,7,4,4,4,4,5,5,5,4,4,4,4,4,2,3,5,1,4,4,4
334,7,4,4,3,4,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3
11,7,4,4,4,4,5,5,5,5,5,5,5,4,2,2,4,2,3,2,2
128,7,4,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2
463,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2
50,7,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,4,5,2,2
175,7,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5
663,7,4,4,4,4,5,5,5,5,5,5,5,4,5,4,4,2,3,2,2
393,7,3,4,4,4,5,5,5,5,5,5,5,4,4,4,3,4,5,3,3
390,7,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,3,3
654,7,2,2,2,2,5,5,5,4,4,4,4,4,4,4,4,2,2,2,2
141,7,1,5,2,2,5,5,5,5,5,1,3,5,3,3,3,1,5,1,1
392,7,3,4,4,4,5,5,5,5,5,5,5,4,5,5,4,3,4,4,4
401,7,3,4,4,4,4,4,4,5,5,5,5,5,2,2,3,4,5,5,5
428,7,2,2,5,5,5,5,5,5,5,5,4,4,1,5,5,4,5,3,3
282,7,5,4,4,4,5,5,5,5,5,5,5,4,4,5,5,2,5,4,4
41,7,4,3,3,3,3,4,4,5,5,5,5,5,4,4,4,3,5,3,3
23,7,3,3,3,3,4,4,4,5,4,4,5,4,3,3,4,3,3,2,2
297,7,3,3,4,3,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3
81,7,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3
433,7,4,4,5,5,4,5,5,5,5,5,5,4,3,3,2,3,3,3,2
26,7,4,4,4,4,5,5,5,5,4,4,5,5,4,4,3,3,4,3,3
97,7,2,3,4,3,5,5,2,5,5,5,5,5,5,5,4,5,5,3,2
32,7,2,2,2,3,4,4,4,5,4,4,5,4,4,3,2,3,4,3,3
27,7,4,4,3,4,4,4,4,5,5,4,5,4,3,3,2,3,3,3,3
33,7,4,5,5,5,5,5,5,3,5,5,5,5,4,3,2,3,3,3,3
294,7,3,4,4,4,1,4,2,5,5,2,5,4,4,4,3,4,4,3,3
283,7,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3
144,7,4,4,3,5,4,4,4,5,5,5,5,5,4,3,2,1,5,4,4
639,7,5,3,4,4,5,5,5,5,5,5,5,3,3,3,2,2,3,3,3
442,7,5,4,5,5,5,5,5,5,5,5,5,3,4,4,4,5,5,5,5
45,7,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,3,5,3,3
114,7,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,4,4
223,7,4,4,4,4,5,5,5,5,5,5,5,2,4,4,4,1,1,1,1
613,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
284,7,5,2,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,1,1
292,7,2,3,3,4,5,2,3,5,5,5,5,3,2,3,2,2,5,4,3
643,7,3,4,3,3,4,4,4,5,5,5,4,4,3,4,4,4,3,2,2
176,7.5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,4,3,5,5,5
184,8,5,4,5,5,5,5,5,5,5,5,4,4,4,3,4,3,3,3,3
237,8,2,2,2,3,4,4,4,5,5,5,5,5,4,4,5,3,2,3,3
363,8,4,4,4,4,5,5,5,5,5,5,5,4,2,4,4,4,5,4,4
457,8,4,4,4,4,5,5,5,5,5,5,5,3,4,4,4,4,2,2,2
227,8,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5
289,8,4,2,2,2,4,4,4,5,5,5,5,5,2,3,4,4,4,4,4
230,10,3,3,4,4,4,4,4,5,5,5,5,4,4,5,5,3,3,3,4
309,10,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
527,10,1,1,1,1,3,3,3,3,3,3,3,4,2,2,2,1,4,1,1
526,10,4,2,3,4,4,4,4,5,5,5,4,4,3,2,5,1,5,3,3
352,10,3,4,3,3,5,5,5,5,5,4,4,4,4,4,3,4,5,3,3
473,10,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5
478,10,4,2,3,4,5,4,4,5,5,5,5,4,4,4,4,4,4,3,3
396,10,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,2,5,3,3
17,10,4,2,1,4,4,3,4,4,4,2,3,1,2,4,4,1,2,1,1
30,10,4,4,3,3,4,4,4,4,4,5,5,4,4,3,4,3,4,3,3
621,10,3,4,4,4,5,4,4,5,5,5,5,1,2,5,4,1,4,1,1
642,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
241,10.5,2,2,1,2,4,4,4,4,4,4,4,5,5,4,5,5,5,4,5
262,10.5,4,4,4,4,5,5,5,5,5,5,5,2,5,1,1,4,4,4,2
249,10.5,3,1,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
549,10.5,4,2,2,2,4,4,4,5,5,5,5,5,5,5,5,4,5,3,3
406,10.5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,2
317,10.5,3,4,2,3,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2
219,10.5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,2,4,5,4,4
612,10.5,2,2,2,2,3,3,3,4,4,4,4,4,2,2,4,2,4,4,4
79,10.5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1
333,11,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,4,2,2
235,12,4,2,4,3,5,5,5,5,5,5,5,5,4,3,2,1,3,3,3
138,12,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2
369,14,5,5,5,5,5,5,5,5,5,5,5,4,4,2,5,1,5,1,1
623,14,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
378,14,2,3,2,3,5,5,5,5,5,5,5,4,4,3,5,4,4,4,4
